query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
472,attr0_narrow,0,1,9.817736,142.04727,1028,4137,12116,10,0,1000000,5000000,5000000
473,attr1_narrow,1,1,14.147615,178.04084,1031,4040,12134,10,0,5000000,1000000,5000000
474,attr2_narrow,2,1,18.882289,220.18764,1071,4190,12453,10,0,5000000,5000000,1000000
475,balanced,0,0,12.449177,99.898941,1068,1290,31000,10,0,2000000,2000000,2000000
476,attr0_narrow,0,1,10.517457,152.23166,1031,5011,15059,10,0,1000000,5000000,5000000
477,attr1_narrow,1,1,13.489492,214.26196,1040,2801,8505,10,0,5000000,1000000,5000000
478,attr2_narrow,2,1,19.768113,210.18023,1027,4720,14345,10,0,5000000,5000000,1000000
479,balanced,0,0.7,14.92863,135.79212,1420,1799,41350,10,0,2000000,2000000,2000000
480,attr0_narrow,0,1,10.017964,156.81923,1026,4872,14797,10,0,1000000,5000000,5000000
481,attr1_narrow,1,1,14.597735,191.55977,1030,3687,10575,10,0,5000000,1000000,5000000
482,attr2_narrow,2,1,18.704784,216.6775,1031,4780,14442,10,0,5000000,5000000,1000000
483,balanced,0,0,0.361222,104.16487,18,18,663,10,0,2000000,2000000,2000000
484,attr0_narrow,0,1,8.919118,149.28217,1029,4426,13331,10,0,1000000,5000000,5000000
485,attr1_narrow,1,1,12.185719,200.80353,1031,1888,5790,10,0,5000000,1000000,5000000
486,attr2_narrow,2,1,11.363426,207.64446,1033,1775,5257,10,0,5000000,5000000,1000000
487,balanced,0,0,0.443298,103.61848,28,28,890,10,0,2000000,2000000,2000000
488,attr0_narrow,0,1,9.900803,158.4208,1027,3864,11644,10,0,1000000,5000000,5000000
489,attr1_narrow,1,0.9,23.641349,179.79844,1033,5618,16889,10,0,5000000,1000000,5000000
490,attr2_narrow,2,1,24.216786,210.57244,1029,5334,15923,10,0,5000000,5000000,1000000
491,balanced,0,0,0.317569,93.802375,16,16,675,10,0,2000000,2000000,2000000
492,attr0_narrow,0,1,12.778279,174.64753,1054,4014,11788,10,0,1000000,5000000,5000000
493,attr1_narrow,1,1,48.058183,198.33388,1026,5852,17638,10,0,5000000,1000000,5000000
494,attr2_narrow,2,0.9,39.765438,205.85276,1030,3528,10599,10,0,5000000,5000000,1000000
495,balanced,0,0.4,11.094959,119.82663,1063,1283,30833,10,0,2000000,2000000,2000000
496,attr0_narrow,0,1,12.443285,139.3681,1034,2930,8334,10,0,1000000,5000000,5000000
497,attr1_narrow,1,1,31.870604,213.05144,1054,4173,12435,10,0,5000000,1000000,5000000
498,attr2_narrow,2,1,34.048108,214.5309,1057,2797,8720,10,0,5000000,5000000,1000000
499,balanced,0,0,1.05387,117.31614,67,67,2061,10,0,2000000,2000000,2000000
500,attr0_narrow,0,1,11.13307,181.24897,1029,2825,8154,10,0,1000000,5000000,5000000
501,attr1_narrow,1,1,31.295788,174.74558,1040,3340,10194,10,0,5000000,1000000,5000000
502,attr2_narrow,2,1,29.026612,221.46556,1037,3991,11577,10,0,5000000,5000000,1000000
503,balanced,0,0.1,16.138316,101.47303,1445,1668,40021,10,0,2000000,2000000,2000000
504,attr0_narrow,0,1,12.158297,166.5173,1029,5470,16303,10,0,1000000,5000000,5000000
505,attr1_narrow,1,1,18.179321,200.83143,1028,5202,15694,10,0,5000000,1000000,5000000
506,attr2_narrow,2,1,13.724896,214.30525,1033,2307,6659,10,0,5000000,5000000,1000000
507,balanced,0,0,10.917794,116.7217,1099,1353,31902,10,0,2000000,2000000,2000000
508,attr0_narrow,0,1,6.46369,162.32788,1028,2275,6643,10,0,1000000,5000000,5000000
509,attr1_narrow,1,1,26.558209,190.18532,1033,3855,11499,10,0,5000000,1000000,5000000
510,attr2_narrow,2,1,31.642754,202.024,1036,4537,13925,10,0,5000000,5000000,1000000
511,balanced,0,0.4,12.198453,113.33799,1039,1242,29123,10,0,2000000,2000000,2000000
512,attr0_narrow,0,1,6.314107,176.34871,1120,1475,4458,10,0,1000000,5000000,5000000
513,attr1_narrow,1,0.9,26.088372,173.87264,1032,3778,11389,10,0,5000000,1000000,5000000
514,attr2_narrow,2,1,13.574282,205.72023,1039,2560,7973,10,0,5000000,5000000,1000000
515,balanced,0,0.1,13.627042,85.818042,1218,1385,33958,10,0,2000000,2000000,2000000
516,attr0_narrow,0,0.9,9.337689,155.44821,1100,5606,16920,10,0,1000000,5000000,5000000
517,attr1_narrow,1,1,13.269737,201.45022,1041,2351,7207,10,0,5000000,1000000,5000000
518,attr2_narrow,2,1,14.233467,212.07775,1043,2654,8264,10,0,5000000,5000000,1000000
519,balanced,0,0.2,11.181742,104.10344,1137,1296,31358,10,0,2000000,2000000,2000000
520,attr0_narrow,0,1,8.970075,146.26189,1028,4561,13697,10,0,1000000,5000000,5000000
521,attr1_narrow,1,0.8,16.6593,203.17168,1033,5791,17280,10,0,5000000,1000000,5000000
522,attr2_narrow,2,1,16.028538,199.12291,1033,3038,8862,10,0,5000000,5000000,1000000
523,balanced,0,0,0.198465,113.92213,7,7,357,7,1,2000000,2000000,2000000
524,attr0_narrow,0,1,9.502631,179.26877,1028,3984,11728,10,0,1000000,5000000,5000000
525,attr1_narrow,1,1,17.139627,183.25421,1031,4687,14220,10,0,5000000,1000000,5000000
526,attr2_narrow,2,1,18.235618,219.61304,1027,4875,14693,10,0,5000000,5000000,1000000
527,balanced,0,0.3,13.032589,123.23483,1096,1364,32508,10,0,2000000,2000000,2000000
528,attr0_narrow,0,1,8.583014,145.05249,1033,2461,7133,10,0,1000000,5000000,5000000
529,attr1_narrow,1,1,17.258362,213.41145,1049,4510,13738,10,0,5000000,1000000,5000000
530,attr2_narrow,2,1,22.200838,208.03248,1029,6593,19257,10,0,5000000,5000000,1000000
531,balanced,0,0.3,11.714179,149.0646,1104,1326,31624,10,0,2000000,2000000,2000000
532,attr0_narrow,0,1,10.692909,150.78518,1028,4099,12263,10,0,1000000,5000000,5000000
533,attr1_narrow,1,1,17.77648,208.95953,1027,4596,14162,10,0,5000000,1000000,5000000
534,attr2_narrow,2,1,13.721229,203.08641,1025,2903,8860,10,0,5000000,5000000,1000000
535,balanced,0,0.2,14.999284,142.48557,1256,1594,37680,10,0,2000000,2000000,2000000
536,attr0_narrow,0,1,9.33808,142.70537,1026,5058,14963,10,0,1000000,5000000,5000000
537,attr1_narrow,1,1,15.103692,186.20909,1031,3564,10421,10,0,5000000,1000000,5000000
